NFORM,CLANGUE,XLIB,DCREATION,DMAJ,XUSER,UPDATED_BY,MODULE_MF,SIGN_MF
FDECH03,1,AVERTISSEMENT S/ECHEANCES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFlzvfu9solqdznnyo8464fxzv9ms8
FDECH03,2,WARNING ON MATURITIES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFlzvfu9solqdznnyo8464fxzv9ms8
FDECH03,3,WARNING ON MATURITIES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFlzvfu9solqdznnyo8464fxzv9ms8
FDECH03,4,WARNING ON MATURITIES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFlzvfu9solqdznnyo8464fxzv9ms8
FDECH03,5,WARNING ON MATURITIES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFlzvfu9solqdznnyo8464fxzv9ms8
FDPRI01,1,PRICING,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,PRMO,MFej8i3itm2ukoidxh19w0wudlbeyd
FDPRI01,2,PRICING,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,PRMO,MFej8i3itm2ukoidxh19w0wudlbeyd
FDPRI01,4,PRICING,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,PRMO,MFej8i3itm2ukoidxh19w0wudlbeyd
FDPRI01,5,PRICING,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,PRMO,MFej8i3itm2ukoidxh19w0wudlbeyd
FDSEC12,2,SECURITY IDS,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,STDM,MFpysbyf8qcpz2mvxxffbwgkuoo2hr
FDSEC12,3,SECURITY IDS,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,STDM,MFpysbyf8qcpz2mvxxffbwgkuoo2hr
FDSEC12,5,SECURITY IDS,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,STDM,MFpysbyf8qcpz2mvxxffbwgkuoo2hr
FDFUT01,1,FUTURES,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,STDM,MFu2sxzm80zibblfdwexq3jt7mqqjf
FDSEC15,4,MULTI LANGUAGE DESCRIPTION,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,STDM,MFxx7mjaupxf6zqy4galelkie4ls3f
FDECT01,1,EQUI_CODES_TITRES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFiwsksx8eseb42bep1yh16zhz4bss
FDECT01,2,EQUI_CODES_TITRES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFiwsksx8eseb42bep1yh16zhz4bss
FDECT01,3,EQUI_CODES_TITRES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFiwsksx8eseb42bep1yh16zhz4bss
FDECT01,4,EQUI_CODES_TITRES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFiwsksx8eseb42bep1yh16zhz4bss
FDECT01,5,EQUI_CODES_TITRES,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFiwsksx8eseb42bep1yh16zhz4bss
FDEGA01,1,EGALISATION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,EQUL,MF5ccg0v30vh60yerioe01z8ah0yls
FDEGA01,2,EQUALIZATION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,EQUL,MF5ccg0v30vh60yerioe01z8ah0yls
FDEGA01,3,EQUALIZATION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,EQUL,MF5ccg0v30vh60yerioe01z8ah0yls
FDEGA01,4,EQUALIZATION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,EQUL,MF5ccg0v30vh60yerioe01z8ah0yls
FDEGA01,5,EQUALIZATION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,EQUL,MF5ccg0v30vh60yerioe01z8ah0yls
FDOPT01,4,OPTION POSITION LIST,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,STDM,MFnxs9hl8jhrbt7oeeqmh6vch09zss
FDOPT01,5,OPTION POSITION LIST,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,STDM,MFnxs9hl8jhrbt7oeeqmh6vch09zss
FDOPT02,2,OPTION DEFINITION,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,STDM,MFpbntzoyolzdj2q184uxdf88m13dj
FDOPT02,4,OPTION DEFINITION,Apr-26-2005 ,Apr-26-2005 ,AMS,MANINTF,STDM,MFpbntzoyolzdj2q184uxdf88m13dj
FDPROF0,4,PROFILE DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFg14fyxsuvjvu8gd7wnnkcdt8vke4
FDPROF0,5,PROFILE DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFg14fyxsuvjvu8gd7wnnkcdt8vke4
FDPROF1,1,PROFILE'S RIGHTS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFhs04jy8uojtnwpv4bbtjfw82t2mz
FDPROF1,2,PROFILE'S RIGHTS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFhs04jy8uojtnwpv4bbtjfw82t2mz
FDPROF1,3,PROFILE'S RIGHTS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFhs04jy8uojtnwpv4bbtjfw82t2mz
FDPROF1,4,PROFILE'S RIGHTS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFhs04jy8uojtnwpv4bbtjfw82t2mz
FDPROF1,5,PROFILE'S RIGHTS,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFhs04jy8uojtnwpv4bbtjfw82t2mz
FDPROF2,1,RIGHT ON MENU,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFruodejay5lvjc9l8uylydiqscdoz
FDAUT40,2,MULTI-LANG. SUB-TOTALS DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFa2sczx2euwnbc9mn549u1o5usvai
FDAUT40,3,MULTI-LANG. SUB-TOTALS DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFa2sczx2euwnbc9mn549u1o5usvai
FDAUT40,4,MULTI-LANG. SUB-TOTALS DEF.,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFa2sczx2euwnbc9mn549u1o5usvai
FDAUT41,1,VALUATION GROUPS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFgcpx4q88dincblud29ppnyw36jth
FDAUT41,2,VALUATION GROUPS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFgcpx4q88dincblud29ppnyw36jth
FDAUT41,3,VALUATION GROUPS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFgcpx4q88dincblud29ppnyw36jth
FDAUT41,5,VALUATION GROUPS DEFINITION,Sep-27-1999 ,Sep-27-1999 ,AMS,MANINTF,STDM,MFgcpx4q88dincblud29ppnyw36jth
